;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;27000.0;9.0;0.008994218883507647;2449.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;28000.0;9.0;0.008507203781842497;2500.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;29000.0;9.0;0.008364089705679232;2541.0
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;30000.0;9.0;0.007799145249756316;2646.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;1001.0;9.0;0.011073402210475734;186.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;2001.0;9.0;0.0026618258008741175;538.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;3001.0;9.0;0.0016830439518907983;1681.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;4001.0;9.0;0.0012509914336878258;2971.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;5001.0;9.0;9.924059717048065E-4;4640.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;6001.0;9.0;8.16292893859029E-4;6721.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;7001.0;9.0;7.0148947659638E-4;9250.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;8001.0;9.0;5.979570034203934E-4;12370.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;9001.0;9.0;5.360955617535658E-4;15693.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;10001.0;9.0;4.7093960096848025E-4;18914.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;11001.0;9.0;4.2511006249875907E-4;22909.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;12001.0;9.0;3.837266612064549E-4;27645.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;13001.0;9.0;3.4753174577595026E-4;33583.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;14001.0;9.0;3.197308441590318E-4;38543.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;15001.0;9.0;2.948600286779638E-4;45846.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;16001.0;9.0;2.8307104947774083E-4;51625.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;17001.0;9.0;2.5474082542658195E-4;60442.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;18001.0;9.0;2.3926032778785294E-4;69959.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;19001.0;9.0;2.2566381324153355E-4;81440.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;20001.0;9.0;2.0901691599567264E-4;90405.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;21001.0;9.0;2.0048366181642756E-4;101992.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;22001.0;9.0;1.8745762458993064E-4;118246.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;23001.0;9.0;1.7716025323799523E-4;125514.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;24001.0;9.0;1.6802078392458427E-4;140837.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;25001.0;9.0;1.5953296390772118E-4;158270.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;26001.0;9.0;1.5398316266707093E-4;176094.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;27001.0;9.0;1.478011789291419E-4;196734.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;28001.0;9.0;1.373839253808946E-4;207305.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;29001.0;9.0;4.076778642546651E-4;224813.0
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;30001.0;9.0;1.2743061510632229E-4;252595.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;1.0;0.0;7.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;1.0;0.0;6.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;2.0;5.2004844153133075E-5;7.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;2.0;5.2004844153133075E-5;8.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;3.0;0.00717525927839039;10.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;3.0;0.0019462611260819599;10.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;4.0;0.022601680984825193;12.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;4.0;0.020372703660657417;13.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;5.0;0.06443245707273121;37.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;5.0;0.06422186447278538;32.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;6.0;0.14787009506958537;82.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;6.0;0.10013796203702777;95.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;7.0;0.17380903676691684;240.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;7.0;0.11898739366565395;276.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;8.0;0.2662807974084261;846.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;8.0;0.20176665430484206;1066.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;1548.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2188.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;1.0;5.0153972696132637E-5;11.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;1.0;5.0153972696132637E-5;14.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;2.0;0.0016328979355383114;15.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;2.0;3.2693247649057057E-4;16.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;3.0;0.016917755308790066;21.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;3.0;0.016917755308790066;20.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;4.0;0.02947426050523413;33.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;4.0;0.029355823352077353;37.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;5.0;0.07642912491780254;133.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;5.0;0.07561637872061291;145.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;6.0;0.11068747468900422;399.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;6.0;0.10971133947779545;493.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;7.0;0.11452806759220077;3084.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;7.0;0.11369977256595608;2947.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;8.0;0.1241035526615249;9570.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;8.0;0.1233346195032465;10116.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;1.0;0.0;5.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;1.0;0.0;4.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;2.0;7.665578716158693E-4;6.0
