;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.3;0.25;5.0;63441.0;8.0;0.11932286521580382;11032.2;4.0;6.305070853233713E-5;0.0012109894644550042;0.0011964017985670065
Cup;Loss;5-anonymity;RGR;0.3;0.3;5.0;63441.0;8.0;0.1193958674977678;11287.2;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;0.3;0.35;5.0;63441.0;8.0;0.1193958674977678;11906.4;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;0.3;0.4;5.0;63441.0;8.0;0.12250333854290349;11657.0;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.3;0.45;5.0;63441.0;8.0;0.12250333854290349;12375.8;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;0.3;0.5;5.0;63441.0;8.0;0.12318310210916532;12629.4;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Cup;Loss;5-anonymity;RGR;1.0;0.0;5.0;63441.0;8.0;0.0932719283513927;69004.6;5.0;7.881338566542141E-5;0.004108156086072322;0.0040872851475444545
Cup;Loss;5-anonymity;RGR;1.0;0.05;5.0;63441.0;8.0;0.0932719283513927;67761.6;5.0;7.881338566542141E-5;0.004108156086072322;0.0040872851475444545
Cup;Loss;5-anonymity;RGR;1.0;0.1;5.0;63441.0;8.0;0.10142246637946802;61067.4;1.0;1.5762677133084283E-5;0.0033863976946667297;0.003382303793719561
Cup;Loss;5-anonymity;RGR;1.0;0.15;5.0;63441.0;8.0;0.10799523864887321;64919.2;1.0;1.5762677133084283E-5;0.0027176993128515494;0.0027138981732386684
Cup;Loss;5-anonymity;RGR;1.0;0.2;5.0;63441.0;8.0;0.11177347661894346;63052.2;5.0;7.881338566542141E-5;0.0025513717891824054;0.0025323289247790462
Cup;Loss;5-anonymity;RGR;1.0;0.25;5.0;63441.0;8.0;0.11931863138772533;60777.4;5.0;7.881338566542141E-5;0.0012086937998943969;0.0011904585028783988
Cup;Loss;5-anonymity;RGR;1.0;0.3;5.0;63441.0;8.0;0.1193958674977678;61279.0;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;1.0;0.35;5.0;63441.0;8.0;0.1193958674977678;63409.2;1.0;1.5762677133084283E-5;0.0012069038848220666;0.0012032591984126111
Cup;Loss;5-anonymity;RGR;1.0;0.4;5.0;63441.0;8.0;0.12250333854290349;65947.6;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;1.0;0.45;5.0;63441.0;8.0;0.12250333854290349;67982.8;2.0;3.1525354266168566E-5;0.0014822923997850914;0.001474983018380031
Cup;Loss;5-anonymity;RGR;1.0;0.5;5.0;63441.0;8.0;0.12318310210916532;69446.0;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Adult;Loss;10-anonymity;RGR;0.05;0.0;10.0;30162.0;9.0;0.3290410063904255;1440.4;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.05;10.0;30162.0;9.0;0.3290410063904255;1366.4;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.1;10.0;30162.0;9.0;0.3290410063904255;1412.6;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.15;10.0;30162.0;9.0;0.3290410063904255;1417.8;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.2;10.0;30162.0;9.0;0.3290410063904255;1417.8;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.25;10.0;30162.0;9.0;0.3290410063904255;1378.4;0.0;0.0;0.003081035939660204;0.003081035939660204
Adult;Loss;10-anonymity;RGR;0.05;0.3;10.0;30162.0;9.0;0.3279955017685254;1393.2;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.35;10.0;30162.0;9.0;0.3279955017685254;1395.6;0.0;0.0;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.05;0.4;10.0;30162.0;9.0;0.3279955017685254;1394.0;0.0;0.0;0.002178359587940565;0.002178359587940565
